gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC,hgnc_symbol,entrezgene
ENSG00000152484,1599.3113107048298,-2.428523474327152,0.11431595909709882,-21.243958354619487,3.7492599271242593e-100,5.070499125442848e-96,2.428523474327152,-5.383421826117386,USP12,219333
ENSG00000071073,3817.753494175241,2.550555060127099,0.12425033387026548,20.527550958456427,1.2217948319644291e-93,8.26177665374347e-90,2.550555060127099,5.858596377007348,MGAT4A,11320
ENSG00000102096,434.8237884129747,-3.9780693643281175,0.19836500292013096,-20.05429035246623,1.851667950007069e-89,8.347319118631867e-86,3.9780693643281175,-15.758620737690567,PIM2,11040
ENSG00000276085,758.1198447484352,-4.562623497718301,0.2506260168560751,-18.204907674602833,4.718484633288686e-74,1.5953196545149046e-70,4.562623497718301,-23.631241132207087,CCL3L1,6349
ENSG00000276085,758.1198447484352,-4.562623497718301,0.2506260168560751,-18.204907674602833,4.718484633288686e-74,1.5953196545149046e-70,4.562623497718301,-23.631241132207087,CCL3L1,414062
ENSG00000276085,758.1198447484352,-4.562623497718301,0.2506260168560751,-18.204907674602833,4.718484633288686e-74,1.5953196545149046e-70,4.562623497718301,-23.631241132207087,CCL3L3,6349
ENSG00000276085,758.1198447484352,-4.562623497718301,0.2506260168560751,-18.204907674602833,4.718484633288686e-74,1.5953196545149046e-70,4.562623497718301,-23.631241132207087,CCL3L3,414062
ENSG00000232810,605.9304890675461,-5.0063827784506145,0.27655220198918795,-18.102849091204646,3.026025306744496e-73,8.184793249682513e-70,5.0063827784506145,-32.14188819617695,TNF,7124
ENSG00000125538,13521.162055465647,-4.919225188634451,0.27645620028703327,-17.793868191514672,7.88443010633365e-71,1.7771505459676045e-67,4.919225188634451,-30.257590240429746,IL1B,3553
ENSG00000112149,5285.580553640299,-3.2488672422465696,0.18342361812649993,-17.712371369787046,3.365880453876665e-70,6.502881036889717e-67,3.2488672422465696,-9.50619003430126,CD83,9308
ENSG00000158470,1271.523121903226,-2.2101365145963183,0.1286782479901358,-17.1756808094383,4.038862719680239e-66,6.827697427619444e-63,2.2101365145963183,-4.627190561459877,B4GALT5,9334
ENSG00000125733,465.94607424505284,-2.7647126558348205,0.16157631330027203,-17.110878441055295,1.2312844935037476e-65,1.8502101655716315e-62,2.7647126558348205,-6.796126261614526,TRIP10,9322
ENSG00000198604,1735.0353461789582,-1.87246602232456,0.11138975178755509,-16.81003855629167,2.0603730423949678e-63,2.7864485025349545e-60,1.87246602232456,-3.661579252375964,BAZ1A,11177
ENSG00000282608,1402.779727714974,3.095260152386558,0.18475049828692064,16.753731010671306,5.318363501610796e-63,6.538686181434946e-60,3.095260152386558,8.546064185012114,ADORA3,140
ENSG00000111348,6395.649069342005,1.4728407472257699,0.08804868237818088,16.72757283180822,8.253375004700032e-63,9.301553630296936e-60,1.4728407472257699,2.775679026093265,ARHGDIB,397
