"","gene","log2FoldChange","padj","hgnc_symbol"
"73","ENSG00000053108",-3.06061739032926,0.00376299135994573,"FSTL4"
"74","ENSG00000085563",-3.01503772501884,0.0041410939674124,"ABCB1"
"75","ENSG00000017483",-1.88443627868681,0.00417847563317428,"SLC38A5"
"76","ENSG00000136848",-2.55220785705956,0.00418401700520142,"DAB2IP"
"77","ENSG00000105048",2.65144301977508,0.00590913928315915,"TNNT1"
"78","ENSG00000135378",-1.53798539666409,0.00660044271001247,"PRRG4"
"79","ENSG00000161381",-4.46049734511611,0.00660393253311585,"PLXDC1"
"80","ENSG00000129038",-2.03852498946298,0.00699332900599391,"LOXL1"
"81","ENSG00000143167",-2.55979446249701,0.00769422388415119,"GPA33"
"82","ENSG00000186583",2.51181978413629,0.00769422388415119,"SPATC1"
"83","ENSG00000049249",2.63083440815968,0.00901076777718224,"TNFRSF9"
"84","ENSG00000162747",2.96939078665445,0.0107136867142689,"FCGR3B"
"85","ENSG00000183549",-1.68123312845508,0.0112270287304096,"ACSM5"
"86","ENSG00000135447",1.56274640686454,0.0113619638970738,"PPP1R1A"
"87","ENSG00000185100",-1.58638518347917,0.0114843190293867,"ADSSL1"
"88","ENSG00000124875",2.08015129897082,0.0114898715073716,"CXCL6"
"89","ENSG00000133315",-2.08092798110451,0.0114971088872849,"MACROD1"
"90","ENSG00000136237",2.37923208752599,0.0120163565813393,"RAPGEF5"
"91","ENSG00000171643",-1.73673431028188,0.012260298272234,"S100Z"
"92","ENSG00000123892",-1.56694576366711,0.0125545331130086,"RAB38"
"93","ENSG00000115008",1.97304673354026,0.0138552880440696,"IL1A"
"94","ENSG00000108932",1.6140104738264,0.0150704017782927,"SLC16A6"
"95","ENSG00000111863",1.67767598121409,0.0160890777014779,"ADTRP"
"96","ENSG00000102794",4.94744171964408,0.0173013782370195,"ACOD1"
"97","ENSG00000133392",5.56418030294007,0.0176228398495241,"MYH11"
"98","ENSG00000108797",1.90048195326118,0.017677081077948,"CNTNAP1"
"99","ENSG00000156127",1.56940793634403,0.0182216434930119,"BATF"
"100","ENSG00000146555",-1.72414354890848,0.0184897858503718,"SDK1"
"101","ENSG00000139209",-2.42714083245068,0.0185125055009999,"SLC38A4"
"102","ENSG00000025434",1.83195435227427,0.0191646056164403,"NR1H3"
"103","ENSG00000205846",3.76121112565591,0.0204608939458548,"CLEC6A"
"104","ENSG00000081041",1.65422168370282,0.021429088749796,"CXCL2"
"105","ENSG00000110436",3.30669057466529,0.0215738057799417,"SLC1A2"
"106","ENSG00000156206",2.39559752817027,0.0220656982548422,"CFAP161"
