"","gene","log2FoldChange","padj","hgnc_symbol"
"81","ENSG00000134717",0.59852404191155,8.78938232925146e-06,"BTF3L4"
"82","ENSG00000087053",0.687245478542629,9.1401921245178e-06,"MTMR2"
"83","ENSG00000007541",-1.17405874230383,9.22017420378995e-06,"PIGQ"
"84","ENSG00000244462",0.601256059957854,9.52932404909416e-06,"RBM12"
"85","ENSG00000068028",-0.88281011948571,9.66966912073265e-06,"RASSF1"
"86","ENSG00000134333",0.777254253489147,1.14294891591729e-05,"LDHA"
"87","ENSG00000155330",0.840900653337307,1.26608474006066e-05,"C16orf87"
"88","ENSG00000168936",-0.711318282180952,1.30504829526886e-05,"TMEM129"
"89","ENSG00000137106",-0.648058470224387,1.34156211131855e-05,"GRHPR"
"90","ENSG00000101966",0.656775938218413,1.41266035973879e-05,"XIAP"
"91","ENSG00000170759",0.631248000418395,1.45817986988193e-05,"KIF5B"
"92","ENSG00000127415",-1.24164503382165,1.56635099978382e-05,"IDUA"
"93","ENSG00000183735",0.604932591806342,1.58771151641773e-05,"TBK1"
"94","ENSG00000227500",-0.744412190000721,1.6857871730376e-05,"SCAMP4"
"95","ENSG00000110628",-0.939450139020674,1.77081501659071e-05,"SLC22A18"
"96","ENSG00000103591",0.675952556983551,1.91870659258807e-05,"AAGAB"
"97","ENSG00000110011",-0.90480732457142,1.95649533517755e-05,"DNAJC4"
"98","ENSG00000073169",-0.986544275715237,1.97869133347873e-05,"SELENOO"
"99","ENSG00000197448",-0.600150605694506,2.11684814605808e-05,"GSTK1"
"100","ENSG00000158805",-0.649720872690029,2.41185072753789e-05,"ZNF276"
"101","ENSG00000140688",-0.830911659129248,2.59714183628393e-05,"C16orf58"
"102","ENSG00000176978",-0.690873574328868,2.65796008044136e-05,"DPP7"
"103","ENSG00000140030",0.615305095407755,2.67461705895455e-05,"GPR65"
"104","ENSG00000247596",-0.631605125715999,2.81923959375299e-05,"TWF2"
"105","ENSG00000141582",-0.677669827623428,2.83934495230942e-05,"CBX4"
"106","ENSG00000177728",-0.747378632940622,2.90119558542614e-05,"TMEM94"
"107","ENSG00000087470",0.727540244633924,3.21242863002108e-05,"DNM1L"
"108","ENSG00000072778",-0.937117042527273,3.74263705287633e-05,"ACADVL"
"109","ENSG00000158435",0.589500544165627,3.91519295883549e-05,"CNOT11"
"110","ENSG00000127419",-0.989726242792009,3.91706865791545e-05,"TMEM175"
"111","ENSG00000069956",0.723624616597381,3.96336490034708e-05,"MAPK6"
"112","ENSG00000105135",-0.757962692508363,4.03072798116145e-05,"ILVBL"
"113","ENSG00000076928",-0.718065448011474,4.23346050944245e-05,"ARHGEF1"
"114","ENSG00000062716",0.61129689121375,4.37098303862825e-05,"VMP1"
"115","ENSG00000134001",0.612464632809356,4.63874569173881e-05,"EIF2S1"
"116","ENSG00000165097",0.710223166183852,4.65440743537615e-05,"KDM1B"
"117","ENSG00000101888",0.69066134755501,4.86458666869249e-05,"NXT2"
"118","ENSG00000148343",-0.836771085671012,5.00252195277822e-05,"MIGA2"
"119","ENSG00000163602",0.714953860705302,5.13796314424721e-05,"RYBP"
"120","ENSG00000137309",-0.616562201158659,5.26379907795504e-05,"HMGA1"
"121","ENSG00000166128",0.679480377267646,5.40864901563825e-05,"RAB8B"
"122","ENSG00000147576",-2.04787045589209,5.53933485340231e-05,"ADHFE1"
"123","ENSG00000137841",-0.622394451140345,6.05845601093981e-05,"PLCB2"
"124","ENSG00000139636",-0.986216120785687,6.27485711587661e-05,"LMBR1L"
"125","ENSG00000131943",0.606692882531306,6.33811932299722e-05,"C19orf12"
"126","ENSG00000184640",-0.600837509789375,6.42316516944783e-05,"SEPT9"
"127","ENSG00000065135",0.641794847858632,6.59434787570243e-05,"GNAI3"
"128","ENSG00000163110",0.684355214794809,7.02562703515966e-05,"PDLIM5"
"129","ENSG00000197150",-0.740811383091379,7.02562703515966e-05,"ABCB8"
"130","ENSG00000103152",-1.02839578912754,7.23329012736389e-05,"MPG"
"131","ENSG00000173674",0.73743966801146,7.94071061041069e-05,"EIF1AX"
"132","ENSG00000184743",0.74271516303552,8.80773006653946e-05,"ATL3"
"133","ENSG00000250479",-0.71908647387137,8.86198334342546e-05,"CHCHD10"
"134","ENSG00000071894",-0.6688546031682,9.08977968582953e-05,"CPSF1"
"135","ENSG00000162302",-0.765122837362435,9.14262646247007e-05,"RPS6KA4"
"136","ENSG00000178188",-0.704760162418177,9.28102982986781e-05,"SH2B1"
"137","ENSG00000145734",0.632924702158818,0.000101261316290389,"BDP1"
"138","ENSG00000011114",0.602416014987262,0.000108176857702753,"BTBD7"
"139","ENSG00000198837",-0.706661669241487,0.00010891805100109,"DENND4B"
"140","ENSG00000164151",0.649406231752553,0.000110090545576389,"ICE1"
"141","ENSG00000111860",0.696453420430334,0.000114653548083567,"CEP85L"
